,Null,Stand,Walk,Sit,Lie,Average
Precision,0.8560322892515123,0.7314067676443367,0.7196936810850694,0.9277859182326618,0.9897555159097993,0.8449348344246758
Recall,0.5751231527093597,0.8813354786806115,0.8022038567493113,0.9690402476780187,0.954177897574124,0.8363761266782849
F1-score,0.6880091072997513,0.7994020558970067,0.7587121107589048,0.9479644599532506,0.9716411382534375,0.8331457744324702
