,Null,Stand,Walk,Sit,Lie,Average
Precision,0.82157961247645,0.6782082862273408,0.7242892858983113,0.9229802817279014,0.9886408203704956,0.8271396573400998
Recall,0.5375615763546798,0.8913917940466614,0.7267217630853995,0.968421052631579,0.967654986522911,0.8183502345282461
F1-score,0.6498951473371636,0.7703227192648537,0.7255034855875792,0.9451548116749328,0.9780353424473067,0.8137823012623672
