,Null,Stand,Walk,Sit,Lie,Average
Precision,0.7484035215475112,0.7225456914150918,0.7844482824675004,0.9522106988273622,0.9898577910809412,0.8394931970676813
Recall,0.6970443349753694,0.8519710378117458,0.7283746556473829,0.9597523219814241,0.9433962264150944,0.8361077153662032
F1-score,0.7218114892435094,0.7819389799479668,0.7553722689152624,0.9559666366648965,0.966068707311253,0.8362316164165776
