,Null,Stand,Walk,Sit,Lie,Average
Precision,0.8981361934619434,0.7336842585636036,0.7998254501230639,0.9499229115619545,0.9918075406543899,0.8746752708729911
Recall,0.7179802955665024,0.9127111826226871,0.7647382920110193,0.9708978328173374,0.9703504043126685,0.8673356014660429
F1-score,0.7980168434868675,0.8134641417893305,0.7818884359415732,0.9602958515288927,0.9809616504552063,0.8669253846403742
