,Null,Stand,Walk,Sit,Lie,Average
Precision,0.7797787887647879,0.7118981286249018,0.6940866737514154,0.9463725192043052,0.9911605995419064,0.8246593419774634
Recall,0.6206896551724138,0.8053097345132744,0.8060606060606061,0.9287925696594427,0.921832884097035,0.8165370899005545
F1-score,0.6911981910116951,0.7557283440089906,0.7458946630530332,0.9375001371206896,0.9552405085468768,0.817112368748257
