,Null,Stand,Walk,Sit,Lie,Average
Precision,0.8146788205749055,0.7373984943665811,0.7326209409378085,0.9507530466020333,0.9856909894181516,0.844228458379896
Recall,0.6798029556650247,0.8801287208366855,0.7349862258953168,0.9566563467492261,0.9487870619946092,0.8400722622281724
F1-score,0.7411546650477248,0.8024663665547037,0.7338016773980257,0.9536955615228017,0.9668870186473478,0.8396010578341209
